0,Afghanistan,1
1,Albania,2
2,Algeria,3
3,Andorra,4
4,Angola,5
5,Antigua and Barbuda,6
6,Argentina,7
7,Armenia,8
8,Australia,15
9,Austria,10
10,Azerbaijan,1
11,Bahamas,2
12,Bahrain,3
13,Bangladesh,4
14,Barbados,5
15,Belarus,6
16,Belgium,7
17,Belize,8
18,Benin,9
19,Bhutan,10
20,Bolivia (Plurinational State of),1
21,Bosnia and Herzegovina,2
22,Botswana,3
23,Brazil,4
24,Brunei Darussalam,5
25,Bulgaria,6
26,Burkina Faso,7
27,Burundi,8
28,Cabo Verde,9
29,Cambodia,10
30,Cameroon,1
31,Canada,2
32,Central African Republic,3
33,Chad,4
34,Chile,5
35,China,6
36,Colombia,7
37,Comoros,8
38,Congo,9
39,Cook Islands,10
40,Costa Rica,1
41,Côte d'Ivoire,2
42,Croatia,3
43,Cuba,4
44,Cyprus,5
45,Czech Republic,6
46,Democratic People's Republic of Korea,7
47,Democratic Republic of the Congo,8
48,Denmark,9
49,Djibouti,10
50,Dominica,1
51,Dominican Republic,2
52,Ecuador,3
53,Egypt,4
54,El Salvador,5
55,Equatorial Guinea,6
56,Eritrea,7
57,Estonia,8
58,Eswatini,9
59,Ethiopia,10
60,Fiji,1
61,Finland,2
62,France,3
63,Gabon,4
64,Gambia (the),5
65,Georgia,6
66,Germany,7
67,Ghana,8
68,Greece,9
69,Grenada,10
70,Guatemala,1
71,Guinea,2
72,Guinea-Bissau,3
73,Guyana,4
74,Haiti,5
75,Holy See,6
76,Honduras,7
77,Hungary,8
78,Iceland,9
79,India,10
80,Indonesia,1
81,Iran (Islamic Republic of),2
82,Iraq,3
83,Ireland,4
84,Israel,10
85,Italy,6
86,Jamaica,7
87,Japan,8
88,Jordan,9
89,Kazakhstan,10
90,Kenya,1
91,Kiribati,2
92,Kuwait,3
93,Kyrgyzstan,4
94,Lao People's Democratic Republic,5
95,Latvia,6
96,Lebanon,7
97,Lesotho,8
98,Liberia,9
99,Libya,10
100,Liechtenstein,1
101,Lithuania,2
102,Luxembourg,3
103,Madagascar,4
104,Malawi,5
105,Malaysia,6
106,Maldives,7
107,Mali,8
108,Malta,9
109,Marshall Islands,10
110,Mauritania,1
111,Mauritius,2
112,Mexico,3
113,Monaco,4
114,Mongolia,5
115,Montenegro,6
116,Morocco,7
117,Mozambique,8
118,Myanmar,9
119,Namibia,10
120,Nauru,1
121,Nepal,2
122,Netherlands,3
123,New Zealand,4
124,Nicaragua,5
125,Niger,6
126,Nigeria,7
127,Niue,8
128,North Macedonia,9
129,Norway,10
130,Oman,1
131,Pakistan,2
132,Panama,3
133,Papua New Guinea,4
134,Paraguay,5
135,Peru,6
136,Philippines,7
137,Poland,8
138,Portugal,9
139,Qatar,10
140,Republic of Korea,1
141,Republic of Moldova,2
142,Romania,3
143,Russian Federation,4
144,Rwanda,5
145,Saint Kitts and Nevis,6
146,Saint Lucia,7
147,Saint Vincent and the Grenadines,8
148,Samoa,9
149,San Marino,10
150,Sao Tome and Principe,1
151,Saudi Arabia,2
152,Senegal,3
153,Serbia,4
154,Seychelles,5
155,Sierra Leone,6
156,Singapore,7
157,Slovakia,8
158,Slovenia,9
159,Solomon Islands,10
160,Somalia,1
161,South Africa,2
162,Spain,3
163,Sri Lanka,4
164,Sudan,5
165,Suriname,6
166,Sweden,7
167,Switzerland,8
168,Syrian Arab Republic,9
169,Tajikistan,10
170,Thailand,1
171,Timor-Leste,2
172,Togo,3
173,Tonga,4
174,Trinidad and Tobago,5
175,Tunisia,6
176,Turkey,7
177,Turkmenistan,8
178,Tuvalu,9
179,Uganda,10
180,Ukraine,1
181,United Arab Emirates,2
182,United Kingdom,3
183,United Republic of Tanzania,4
184,United States of America,5
185,Uruguay,6
186,Uzbekistan,7
187,Vanuatu,8
188,Venezuela (Bolivarian Republic of),9
189,Viet Nam,10
190,Yemen,1
191,Zambia,2
192,Zimbabwe,3
